ID,z,lgMstar,SFR_case,SFR_source,SFR,e_SFR,SFR_censored,SFR_limit,MHI,e_MHI,MHI_censored,MHI_limit
109039,0.014453,9.128614,1,xGASS,0.18527323,0.108014435,False,.,4064998352.6128716,116420000.5521586,False,0.0
14712,0.038276,10.55,1,xGASS,4.2424393,0.29734603,False,.,8808571257.520056,533852803.486064,False,0.0
19672,0.045872,10.725999999999999,1,xGASS,6.996085000000001,0.36727709999999997,False,.,12744895573.006405,1521778575.8813617,False,0.0
14727,0.033882999999999996,10.681,9,xGASS,.,.,False,.,21453627248.715683,576992419.8921088,False,0.0
25844,0.032619999999999996,10.247,2,xGASS,0.017789291000000002,0.056147918,True,0.056147918,0.0,87908323.08756468,True,439541615.4378234
109057,0.01748733,9.9205065,9,xGASS,.,.,False,.,0.0,39905246.29937766,True,199526231.49688828
109074,0.018443,9.88976,1,xGASS,0.64506066,0.16084129999999996,False,.,2445166758.641261,94044875.33235618,False,0.0
109099,0.017172,9.018042999999999,2,xGASS,0.03293499,0.04021774,True,0.04021774,136221975.26201436,27244395.052402873,False,0.0
109102,0.011734999999999999,9.377235,1,xGASS,0.3803302,0.09384951,False,.,6205176797.719298,64302350.23543314,False,0.0
109116,0.017679,9.560399,1,xGASS,0.59697926,0.11627226,False,.,1774161230.0062165,86544450.24420568,False,0.0
57017,0.032266,10.536,1,xGASS,0.33558795,0.18720451,False,.,6997675359.944532,571238804.8934312,False,0.0
109020,0.011491,9.539716,9,xGASS,.,.,False,.,437969794.46013176,67854475.19804859,False,0.0
109045,0.011973517,9.861918,1,xGASS,0.11470027,0.09050896,False,.,0.0,30834009.058991104,True,154170045.29495552
109031,0.011842531000000002,9.2308035,9,xGASS,.,.,False,.,0.0,24379791.97849735,True,121898959.89248674
109090,0.010690999999999999,9.426019,1,xGASS,0.035207245,0.06308605,True,0.06308605,566891486.3432442,42784263.120244846,False,0.0
33019,0.0484,11.151,9,xGASS,.,.,False,.,0.0,434540235.77274865,True,2172701178.8637433
109089,0.012619,9.870778999999999,9,xGASS,.,.,False,.,3087772355.936374,81647826.71947144,False,0.0
